sku,attribute_set_code,product_type,categories,vendor,visibility,name,description,productype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,base_image,small_image,thumbnail_image,additional_image,accessories,qty,max_cart_qty
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,13859791,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-2.jpg,Bộ sạc + hướng dẫn sử dụng,52,35
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,20696622,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-4.jpg,Bộ sạc + hướng dẫn sử dụng,53,36
XPS 13,Laptop,simple,Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,27197305,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-6.jpg,Bộ sạc + hướng dẫn sử dụng,54,37
Inspiron 5379,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5379,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,22752393,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-8.jpg,Bộ sạc + hướng dẫn sử dụng,55,38
Inspiron 3567,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,11630112,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-10.jpg,Bộ sạc + hướng dẫn sử dụng,56,39
Inspiron 5570,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5570,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,22224560,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-12.jpg,Bộ sạc + hướng dẫn sử dụng,57,40
Latitude 5590,Laptop,simple,Dell,Dell,"Catalog, Search",Latitude 5590,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,36059349,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-14.jpg,Bộ sạc + hướng dẫn sử dụng,58,41
XPS 13,Laptop,simple,Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,51922128,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-16.jpg,Bộ sạc + hướng dẫn sử dụng,59,42
Inspiron 5770,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 5770,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,27197305,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-18.jpg,Bộ sạc + hướng dẫn sử dụng,60,43
Inspiron 7577,Laptop,simple,Dell,Dell,"Catalog, Search",Inspiron 7577,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,41643269,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-19.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/dell-xps-13-9310-2-in-1-20.jpg,Bộ sạc + hướng dẫn sử dụng,61,44
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,15973903,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-2.jpg,Bộ sạc + hướng dẫn sử dụng,62,45
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,10942818,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-4.jpg,Bộ sạc + hướng dẫn sử dụng,63,46
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,9584064,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-6.jpg,Bộ sạc + hướng dẫn sử dụng,64,47
255 G6,Laptop,simple,HP,HP,"Catalog, Search",255 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,7167421,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-8.jpg,Bộ sạc + hướng dẫn sử dụng,65,48
15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Laptop,simple,HP,HP,"Catalog, Search",15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,18307481,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/HP-envy-13-go-10.jpg,Bộ sạc + hướng dẫn sử dụng,66,49
ProBook 470,Laptop,simple,HP,HP,"Catalog, Search",ProBook 470,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,24891507,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-1.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-2.jpg,Bộ sạc + hướng dẫn sử dụng,67,50
17-ak001nv (A6-9220/4GB/500GB/Radeon,Laptop,simple,HP,HP,"Catalog, Search",17-ak001nv (A6-9220/4GB/500GB/Radeon,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,12195727,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-3.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-4.jpg,Bộ sạc + hướng dẫn sử dụng,68,51
250 G6,Laptop,simple,HP,HP,"Catalog, Search",250 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,13576150,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-5.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-6.jpg,Bộ sạc + hướng dẫn sử dụng,69,52
ProBook 450,Laptop,simple,HP,HP,"Catalog, Search",ProBook 450,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,24419235,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-7.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-8.jpg,Bộ sạc + hướng dẫn sử dụng,70,53
255 G6,Laptop,simple,HP,HP,"Catalog, Search",255 G6,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,11070331,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-9.jpg,https://images.fpt.shop/unsafe/fit-in/filters:quality(90)/fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/hp-envy-13-gold-10.jpg,Bộ sạc + hướng dẫn sử dụng,71,54
IdeaPad 320-15IKB,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15IKB,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,13862569,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-1.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-2.jpg,Bộ sạc + hướng dẫn sử dụng,72,55
Legion Y520-15IKBN,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",Legion Y520-15IKBN,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,27752919,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-3.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-4.jpg,Bộ sạc + hướng dẫn sử dụng,73,56
IdeaPad 120S-14IAP,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 120S-14IAP,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,6917394,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-5.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-6.jpg,Bộ sạc + hướng dẫn sử dụng,74,57
IdeaPad 320-15ISK,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15ISK,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,2.2kg,10251078,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-7.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-8.jpg,Bộ sạc + hướng dẫn sử dụng,75,58
Yoga Book,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",Yoga Book,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,0.69kg,8862043,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-9.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-10.jpg,Bộ sạc + hướng dẫn sử dụng,76,59
IdeaPad 520S-14IKB,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 520S-14IKB,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,16640639,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-11.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-12.jpg,Bộ sạc + hướng dẫn sử dụng,77,60
V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Laptop,simple,Lenovo,Lenovo,"Catalog, Search",V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,15251604,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-13.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-14.jpg,Bộ sạc + hướng dẫn sử dụng,78,61
IdeaPad 320-15IKBN,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15IKBN,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,14418183,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-15.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-16.jpg,Bộ sạc + hướng dẫn sử dụng,79,62
IdeaPad 320-15AST,Laptop,simple,Lenovo,Lenovo,"Catalog, Search",IdeaPad 320-15AST,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,11084499,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-17.jpg,https://fptshop.com.vn/Uploads/images/2015/Tin-Tuc/QuanLNH2/lenovo-laptop-thinkpad-x1-carbon-gen-8-18.jpg,Bộ sạc + hướng dẫn sử dụng,80,63
