sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,,,base_image,small_image,thumbnail_image,additional_images,accessories,qty,max_cart_qty,pin
ideapad 520s-14ikb-8gb-256gb ssd,ideapad 520s-14ikb-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",IdeaPad 520S-14IKB,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,16640639,lenovo-13,lenovo-14,lenovo-13.jpg,lenovo-13.jpg,lenovo-13.jpg,lenovo-14.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 3567-4gb-1tb hdd,inspiron 3567-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,11630112,dell-01,dell-02,dell-01.jpg,dell-01.jpg,dell-01.jpg,dell-02.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 3567-4gb-256gb ssd,inspiron 3567-4gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,13859791,dell-03,dell-04,dell-03.jpg,dell-03.jpg,dell-03.jpg,dell-04.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 3567-8gb-256gb ssd,inspiron 3567-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 3567,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,20696622,dell-05,dell-06,dell-05.jpg,dell-05.jpg,dell-05.jpg,dell-06.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 5379-8gb-256gb ssd,inspiron 5379-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5379,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,22752393,dell-07,dell-08,dell-07.jpg,dell-07.jpg,dell-07.jpg,dell-08.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 5570-8gb-256gb ssd,inspiron 5570-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5570,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,22224560,dell-09,dell-10,dell-09.jpg,dell-09.jpg,dell-09.jpg,dell-10.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 5770-8gb-128gb ssd +  1tb hdd,inspiron 5770-8gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 5770,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,27197305,dell-11,dell-12,dell-11.jpg,dell-11.jpg,dell-11.jpg,dell-12.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
inspiron 7577-16gb-256gb ssd +  1tb hdd,inspiron 7577-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Inspiron 7577,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,41643269,dell-13,dell-14,dell-13.jpg,dell-13.jpg,dell-13.jpg,dell-14.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
latitude 5590-8gb-256gb ssd +  256gb ssd,latitude 5590-8gb-256gb ssd +  256gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",Latitude 5590,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,36059349,dell-15,dell-16,dell-15.jpg,dell-15.jpg,dell-15.jpg,dell-16.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
legion y520-15ikbn-8gb-128gb ssd +  1tb hdd,legion y520-15ikbn-8gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",Legion Y520-15IKBN,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,27752919,lenovo-15,lenovo-16,lenovo-15.jpg,lenovo-15.jpg,lenovo-15.jpg,lenovo-16.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
"macbook 12""-8gb-256gb ssd","macbook 12""-8gb-256gb ssd",Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search","MacBook 12""",Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,35070356,macbook-01,macbook-02,macbook-01.jpg,macbook-01.jpg,macbook-01.jpg,macbook-02.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook air-8gb-128gb flash storage1,macbook air-8gb-128gb flash storage1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",Macbook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,24973182,macbook-03,macbook-04,macbook-03.jpg,macbook-03.jpg,macbook-03.jpg,macbook-04.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook air-8gb-128gb flash storage2,macbook air-8gb-128gb flash storage2,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,30530989,macbook-05,macbook-06,macbook-05.jpg,macbook-05.jpg,macbook-05.jpg,macbook-06.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook air-8gb-256gb flash storage,macbook air-8gb-256gb flash storage,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",Macbook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,32189497,macbook-07,macbook-08,macbook-07.jpg,macbook-07.jpg,macbook-07.jpg,macbook-08.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook air-8gb-256gb flash storage3,macbook air-8gb-256gb flash storage3,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Air,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,27725139,macbook-09,macbook-10,macbook-09.jpg,macbook-09.jpg,macbook-09.jpg,macbook-10.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-16gb-256gb flash storage,macbook pro-16gb-256gb flash storage,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,59449865,macbook-11,macbook-12,macbook-11.jpg,macbook-11.jpg,macbook-11.jpg,macbook-12.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-16gb-256gb ssd,macbook pro-16gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,67784075,macbook-13,macbook-14,macbook-13.jpg,macbook-13.jpg,macbook-13.jpg,macbook-14.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-16gb-512gb ssd1,macbook pro-16gb-512gb ssd1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg,70492137,macbook-15,macbook-16,macbook-15.jpg,macbook-15.jpg,macbook-15.jpg,macbook-16.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-16gb-512gb ssd,macbook pro-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,79397241,macbook-17,macbook-18,macbook-17.jpg,macbook-17.jpg,macbook-17.jpg,macbook-18.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-8gb-128gb ssd,macbook pro-8gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,37217526,macbook-19,macbook-20,macbook-19.jpg,macbook-19.jpg,macbook-19.jpg,macbook-20.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-8gb-256gb ssd1,macbook pro-8gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,50105271,macbook-21,macbook-22,macbook-21.jpg,macbook-21.jpg,macbook-21.jpg,macbook-22.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
macbook pro-8gb-256gb ssd,macbook pro-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Apple,Apple,"Catalog, Search",MacBook Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,42186382,macbook-23,macbook-24,macbook-23.jpg,macbook-23.jpg,macbook-23.jpg,macbook-24.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-16gb-256gb ssd1,notebook 9-16gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,45810374,SAMSUNG-4,SAMSUNG-4,SAMSUNG-4.1.jpg,SAMSUNG-4.1.jpg,SAMSUNG-4.1.jpg,SAMSUNG-4.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-16gb-256gb ssd2,notebook 9-16gb-256gb ssd2,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,15,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon 540,Windows 10,1.71kg,49977479,SAMSUNG-5,SAMSUNG-5,SAMSUNG-5.1.jpg,SAMSUNG-5.1.jpg,SAMSUNG-5.1.jpg,SAMSUNG-5.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-16gb-256gb ssd,notebook 9-16gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.23kg,51366514,SAMSUNG-6,SAMSUNG-6,SAMSUNG-6.1.jpg,SAMSUNG-6.1.jpg,SAMSUNG-6.1.jpg,SAMSUNG-6.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-8gb-256gb ssd1,notebook 9-8gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.31kg,44421339,SAMSUNG-7,SAMSUNG-7,SAMSUNG-7.1.jpg,SAMSUNG-7.1.jpg,SAMSUNG-7.1.jpg,SAMSUNG-7.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-8gb-256gb ssd2,notebook 9-8gb-256gb ssd2,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,41643269,SAMSUNG-8,SAMSUNG-8,SAMSUNG-8.1.jpg,SAMSUNG-8.1.jpg,SAMSUNG-8.1.jpg,SAMSUNG-8.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook 9-8gb-256gb ssd,notebook 9-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook 9,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,15,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.17kg,47199409,SAMSUNG-9,SAMSUNG-9,SAMSUNG-9.1.jpg,SAMSUNG-9.1.jpg,SAMSUNG-9.1.jpg,SAMSUNG-9.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
notebook odyssey-16gb-128gb ssd +  1tb hdd,notebook odyssey-16gb-128gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Notebook Odyssey,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,47199409,SAMSUNG-10,SAMSUNG-10,SAMSUNG-10.1.jpg,SAMSUNG-10.1.jpg,SAMSUNG-10.1.jpg,SAMSUNG-10.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
portege x30-d-10j-8gb-256gb ssd,portege x30-d-10j-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Portege X30-D-10J,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.05kg,46449330,TOSHIBA-1,TOSHIBA-1,TOSHIBA-1.1.jpg,TOSHIBA-1.1.jpg,TOSHIBA-1.1.jpg,TOSHIBA-1.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
portege x30-d-10l-32gb-512gb ssd,portege x30-d-10l-32gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Portege X30-D-10L,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,32GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.05kg,77758179,TOSHIBA-2,TOSHIBA-2,TOSHIBA-2.1.jpg,TOSHIBA-2.1.jpg,TOSHIBA-2.1.jpg,TOSHIBA-2.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
portege z30-c-16l-8gb-256gb ssd,portege z30-c-16l-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Portege Z30-C-16L,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,37865094,TOSHIBA-3,TOSHIBA-3,TOSHIBA-3.1.jpg,TOSHIBA-3.1.jpg,TOSHIBA-3.1.jpg,TOSHIBA-3.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
portege z30-c-16p-16gb-512gb ssd,portege z30-c-16p-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Portege Z30-C-16P,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,48532883,TOSHIBA-4,TOSHIBA-4,TOSHIBA-4.1.jpg,TOSHIBA-4.1.jpg,TOSHIBA-4.1.jpg,TOSHIBA-4.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
probook 450-8gb-256gb ssd,probook 450-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",ProBook 450,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.1kg,24419235,hp-17,hp-18,hp-17.jpg,hp-17.jpg,hp-17.jpg,hp-18.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
probook 470-8gb-1tb hdd,probook 470-8gb-1tb hdd,Laptop,simple,base,Yes,Laptop/HP,HP,"Catalog, Search",ProBook 470,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,24891507,hp-19,hp-20,hp-19.jpg,hp-19.jpg,hp-19.jpg,hp-20.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
rog strix,rog strix,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",Rog Strix,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,36087129,asus-03,asus-04,asus-03.jpg,asus-03.jpg,asus-03.jpg,asus-04.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-4gb-500gb hdd1,satellite pro-4gb-500gb hdd1,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.1kg,16723981,TOSHIBA-5,TOSHIBA-5,TOSHIBA-5.1.jpg,TOSHIBA-5.1.jpg,TOSHIBA-5.1.jpg,TOSHIBA-5.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-4gb-500gb hdd2,satellite pro-4gb-500gb hdd2,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.1kg,12417973,TOSHIBA-6,TOSHIBA-6,TOSHIBA-6.1.jpg,TOSHIBA-6.1.jpg,TOSHIBA-6.1.jpg,TOSHIBA-6.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-4gb-500gb hdd,satellite pro-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2kg,13584762,TOSHIBA-7,TOSHIBA-7,TOSHIBA-7.1.jpg,TOSHIBA-7.1.jpg,TOSHIBA-7.1.jpg,TOSHIBA-7.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-8gb-128gb ssd,satellite pro-8gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,22030095,TOSHIBA-8,TOSHIBA-8,TOSHIBA-8.1.jpg,TOSHIBA-8.1.jpg,TOSHIBA-8.1.jpg,TOSHIBA-8.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-8gb-256gb ssd1,satellite pro-8gb-256gb ssd1,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2kg,28975270,TOSHIBA-9,TOSHIBA-9,TOSHIBA-9.1.jpg,TOSHIBA-9.1.jpg,TOSHIBA-9.1.jpg,TOSHIBA-9.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-8gb-256gb ssd,satellite pro-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,26197200,TOSHIBA-10,TOSHIBA-10,TOSHIBA-10.1.jpg,TOSHIBA-10.1.jpg,TOSHIBA-10.1.jpg,TOSHIBA-10.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
satellite pro-8gb-500gb hdd,satellite pro-8gb-500gb hdd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Satellite Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2kg,22557928,TOSHIBA-11,TOSHIBA-11,TOSHIBA-11.1.jpg,TOSHIBA-11.1.jpg,TOSHIBA-11.1.jpg,TOSHIBA-11.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
surface laptop-16gb-512gb ssd,surface laptop-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16GB,512GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,71924232,MICROSOFT-1,MICROSOFT-1,MICROSOFT-1.1.jpg,MICROSOFT-1.1.jpg,MICROSOFT-1.1.jpg,MICROSOFT-1.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
surface laptop-4gb-128gb ssd1,surface laptop-4gb-128gb ssd1,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,30253182,MICROSOFT-2,MICROSOFT-2,MICROSOFT-2.1.jpg,MICROSOFT-2.1.jpg,MICROSOFT-2.1.jpg,MICROSOFT-2.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
surface laptop-4gb-128gb ssd,surface laptop-4gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,Intel HD Graphics 615,Windows 10 S,1.252kg,27475112,MICROSOFT-3,MICROSOFT-3,MICROSOFT-3.1.jpg,MICROSOFT-3.1.jpg,MICROSOFT-3.1.jpg,MICROSOFT-3.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
surface laptop-8gb-256gb ssd2,surface laptop-8gb-256gb ssd2,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,37226138,MICROSOFT-4,MICROSOFT-4,MICROSOFT-4.1.jpg,MICROSOFT-4.1.jpg,MICROSOFT-4.1.jpg,MICROSOFT-4.2.jpg,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells
